Name,Claude conversation,Download,Host,Long Clip Status,Parent item,Publish Date,Record Date,Short Clip Link,Short Clips Status,Source URL,Spotify Link,Status,Sub-item,Thumbnail,YouTube Link,🔮 Master Content Database
TK x Isaac x Ela - the weird episode,https://claude.ai/chat/bf151496-5fc6-4004-97f6-799322506d64,https://share.descript.com/view/enGi8e8geK3,"Ela, Isaac",Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/67d469042c7004564c13eab2?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980dc9658ea697e52f6e0.md),OpenEd%20Daily/TK_Option_1_(2).png,,"CLIP 3: ""Why hide what makes your child unique?"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%203%20Why%20hide%20what%20makes%20your%20child%20unique%201baafe52ef598088baaeddc3af4dd0af.md), SEO Article: ""The Socialization Myth: Why Homeschooled Children Often Develop Stronger Social Skills"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/SEO%20Article%20The%20Socialization%20Myth%20Why%20Homeschoole%201baafe52ef5980b08e38c6678a64de0b.md), CLIP 1: ""Being weird might be your child's superpower"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%201%20Being%20weird%20might%20be%20your%20child's%20superpowe%201baafe52ef5980bcae69f16389c0ae63.md), Subject Line: The Socialization Myth: Why ""Weird"" Kids Often Succeed (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Subject%20Line%20The%20Socialization%20Myth%20Why%20Weird%20Kids%201cfafe52ef59805cbb78fb79a5cdfbd9.md), Untitled (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Untitled%201d2afe52ef598027b5f2d89a51b53592.md), CLIP 2: ""School creates social environments that never exist again"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%202%20School%20creates%20social%20environments%20that%20nev%201d2afe52ef5980dbae42eb68ffb4f4d2.md)"
Chizick,,https://share.descript.com/view/knmlzqR2nmA,"Charlie, Ela, Isaac",Not started,,,,,Done,https://riverside.fm/dashboard/studios/provider-convos/projects/67c0e951c4241f31e637f909?share-token=81484b742e53a8ab2ec9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980d0b570e29a71f95abe.md),OpenEd%20Daily/Chizick.png,,"Silicon Valley's education secret is leaking (and it's not coding) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Silicon%20Valley's%20education%20secret%20is%20leaking%20(and%20%201baafe52ef59801c93f1f5e26fe1eda7.md), ""They literally don't want you to know what the ultra-wealthy do for their kids' education... 👀
#homeschooling #education #edtech” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/They%20literally%20don't%20want%20you%20to%20know%20what%20the%20ult%201bcafe52ef5980a389a0c7c9f847e498.md), ""No wonder everyone's overwhelmed by curriculum choices... 😳
#homeschooling #education #parentingtips” (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/No%20wonder%20everyone's%20overwhelmed%20by%20curriculum%20cho%201bcafe52ef5980ca92fbef5d0239ae6c.md)"
Phillip Chipping,,,"Ela, Isaac, Matt",Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980c78f7dd1ec2ec4e094.md),,,
Cassie,,https://web.descript.com/5fbc1bbe-1f8f-4e3c-b4b2-8094ca78108f/571a0?editorVariant=default,"Ela, Isaac, Matt",Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/67e6bc99f130fd44d3be4481?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef598057873bc62036d17d67.md),OpenEd%20Daily/OpenED_Thumbnails_(1).png,,"Cassie Tinsmon Carousel (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Cassie%20Tinsmon%20Carousel%201caafe52ef59804e8c7ceee3a3c6784e.md), CLIP: What if school and life weren't separate things? (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%20What%20if%20school%20and%20life%20weren't%20separate%20thin%201caafe52ef598069acf4ebd3fd41b244.md), BLOG (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/BLOG%201deafe52ef598063a7e8f0254b95e2f7.md)"
Zach Koon (Bottega University),,https://share.descript.com/view/4oBTLAxg6mr,Ela,Not started,,,,,Done,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/67f00431885f22e567f97e29?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980518757d06a63598146.md),OpenEd%20Daily/Podcast_Thumbnails_(1).png,,"Zack Koon - Social Media Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Zack%20Koon%20-%20Social%20Media%20Package%20253afe52ef59800fb8a0ed91bfa0c1b4.md), Zack Koon - Blog Post Package  (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Zack%20Koon%20-%20Blog%20Post%20Package%20253afe52ef59802181b5c667b55fcb60.md), Zack Koon - Youtube Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Zack%20Koon%20-%20Youtube%20Package%20253afe52ef59808b9b26d62269a2e49a.md), OED 8.28 - Zack Koon (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/OED%208%2028%20-%20Zack%20Koon%20253afe52ef5980f7b9b6e906d476eb25.md)"
Amir Nathoo,https://claude.ai/chat/ad2a8996-4038-42ca-9ba7-05794cd4a247,https://share.descript.com/view/uxGtmoem9Vd,Isaac,Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/680293fa4a760cd68a7159a8?share-token=cd6bdc72a180229529b5&content-shared=project,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59801ca682eb986f71b7ae.md),"OpenEd%20Daily/Amir_Nathoo.png, OpenEd%20Daily/Amir_Nathoo_(1).png",,"Amir Nathoo (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Amir%20Nathoo%201d9afe52ef59804eb7a8ec7d349bc53e.md), Blog post: Amir Nathoo (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20post%20Amir%20Nathoo%201dcafe52ef5980dda02fe440f1880953.md), Clip 5: ""The Expert is Just a Click Away"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%205%20The%20Expert%20is%20Just%20a%20Click%20Away%201deafe52ef5980048eaaebac22741984.md), Clip 3: ""When Your Child's Interests Go Beyond Your Knowledge"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%203%20When%20Your%20Child's%20Interests%20Go%20Beyond%20Your%20%201deafe52ef59802bb9d0e03bc5912c7a.md), Clip 2: ""Why Your Child Needs Multiple Learning Networks"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%202%20Why%20Your%20Child%20Needs%20Multiple%20Learning%20Netw%201deafe52ef59805f85acfa1d3aaf8821.md), OUTSCHOOL Clip 1: ""Not All Screen Time Is Created Equal"" (As previously compiled - this works well) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/OUTSCHOOL%20Clip%201%20Not%20All%20Screen%20Time%20Is%20Created%20Eq%201deafe52ef59807e8420d41e5abf9348.md), Clip 2: ""The Box Is Now Open"" (Stronger hook from education freedom section) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%202%20The%20Box%20Is%20Now%20Open%20(Stronger%20hook%20from%20edu%201deafe52ef59808c9e9ddd328e053ede.md), Clip 4: ""Teachers Unleashed"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%204%20Teachers%20Unleashed%201deafe52ef5980d4a494f799ec62e5b1.md), Clip 3: ""We Blame Our Kids For Our Issues"" (Provocative hook on technology and generations) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%203%20We%20Blame%20Our%20Kids%20For%20Our%20Issues%20(Provocati%201deafe52ef5980d99881c5e8c055d3f6.md), Clip 1: ""What Minecraft Taught Me About Modern Education"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%201%20What%20Minecraft%20Taught%20Me%20About%20Modern%20Educa%201deafe52ef5980f8a69fe31446464eb0.md), Instagram/Facebook Carousel for OutSchool (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Instagram%20Facebook%20Carousel%20for%20OutSchool%201dfafe52ef59809bb68dc7674f81a1ac.md), 10 Weird Outschool Offerings: TWEET THREAD / TOOL (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/10%20Weird%20Outschool%20Offerings%20TWEET%20THREAD%20TOOL%201dfafe52ef5980c2b43ccd0770d14e11.md)"
Jack Casdorph and Rachel Davie,,https://web.descript.com/f1e9f187-67f4-47ee-bdbf-16c6c29eb522/dcfed?editorVariant=default,Andrea,Not started,,,,,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/68069fd848df5476f7c4ee3c,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980e181d2c7222df2eed3.md),,,"Have We Been Teaching STEM Completely Backwards? The Case for Project-Based Learning (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Have%20We%20Been%20Teaching%20STEM%20Completely%20Backwards%20Th%201e5afe52ef5980bfb690cde3ccfda1c6.md), Clip #2 (The Treehouse Project - Project-Based Learning) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#2%20(The%20Treehouse%20Project%20-%20Project-Based%20Lea%201e6afe52ef598012bd6ecb3f40256fbc.md), Clip #1 (Science Education Critique) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#1%20(Science%20Education%20Critique)%201e6afe52ef5980799447d8705c4c20ff.md), 5 Myths About Learning Science & Math That Are Holding Kids Back (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/5%20Myths%20About%20Learning%20Science%20&%20Math%20That%20Are%20Hol%201f4afe52ef5980a18c20f69a951f76d2.md), Rethinking How We Teach STEM: Insights from the Open Ed Podcast (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Rethinking%20How%20We%20Teach%20STEM%20Insights%20from%20the%20Ope%201f4afe52ef5980f19196edd9866f2263.md)"
Rose Ybaben and Danielle Randall,,https://share.descript.com/view/7LzVs3C0ma2,Andrea,Not started,,,,,Done,https://riverside.fm/dashboard/studios/andreas-opened-pod/recordings/a63ea911-6e21-407a-980b-67912d4fc0a3?share-token=c61bcb1fdad7805bdd12&content-shared=recording,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59801f83dcd2a3a6ed764e.md),OpenEd%20Daily/Podcast_Thumbnails.png,,"Blog Post- Breaking Free from Educational Conveyor Belts: A Conversation on Post-High School Paths (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post-%20Breaking%20Free%20from%20Educational%20Conveyor%201ebafe52ef5980a6ac81f96e3139c144.md), DAILY - Andrea (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/DAILY%20-%20Andrea%201ebafe52ef5980b39495d4a666aee7ac.md), CLIP 1 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%201%201f5afe52ef5980e9881dd114591e3740.md), Rose & Danielle Newsletter (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Rose%20&%20Danielle%20Newsletter%20200afe52ef59804193bffb063ca86ce8.md)"
Matt & Isaac Book Launch!,,,"Isaac, Matt",Not started,,,"May 9, 2025",,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980d5983dd1f68064d028.md),,,"The 200-Year-Old Trap: Breaking Down Part One of ""Open Education"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20200-Year-Old%20Trap%20Breaking%20Down%20Part%20One%20of%20Op%201f1afe52ef59805a9278dc2a2a376571.md), Primary Social Media Clip (Improved) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Primary%20Social%20Media%20Clip%20(Improved)%201f1afe52ef598073a5dcd0f6e8579bab.md)"
Connor Boyack,,https://web.descript.com/ef4cb972-6a62-4fc2-aaf4-42930705504b/0c07c?editorVariant=default,Isaac,Not started,,,"May 16, 2025",,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/05ff6c4c-6ca4-4915-af39-aa09dc67fae3?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef598074bcead5170eac0d3e.md),,,"Clip #3: ""Intentionality in Education"" (Decision-Making) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#3%20Intentionality%20in%20Education%20(Decision-Maki%201f5afe52ef59800aac9bf619a91e870d.md), Clip #2: ""Context Before Content"" (Minecraft Example) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#2%20Context%20Before%20Content%20(Minecraft%20Example)%201f5afe52ef59806094ccec72e3524a0f.md), Main post  (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Main%20post%201f5afe52ef5980878185f7cbe205314b.md), Clip #1: ""Just in Case vs Just in Time"" Learning Model (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#1%20Just%20in%20Case%20vs%20Just%20in%20Time%20Learning%20Mode%201f5afe52ef59809fb2fecd9703870e2f.md), Clip #4: ""The Permission Society Problem"" (OPTIONAL BONUS CLIP) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#4%20The%20Permission%20Society%20Problem%20(OPTIONAL%20B%201f5afe52ef5980fd8327f90a3d4280b2.md), NEwsletter (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/NEwsletter%20200afe52ef59801dbd2ff6556a2011d4.md), CLip #5 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLip%20#5%20202afe52ef5980308db2e7c63b372d15.md)"
Tony mickelson - Savvy Learning,,https://share.descript.com/view/AWFLA20ahAe,"Ela, Isaac, Matt",Not started,,,"May 16, 2025",,Done,https://riverside.fm/dashboard/studios/andreas-opened-pod/recordings/09b5d08e-eac2-44f1-85c1-cdcc9d73066b?share-token=c61bcb1fdad7805bdd12&content-shared=recording,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59807e823fedd458e05991.md),"OpenEd%20Daily/Podcast_Thumbnails_(1)%201.png, OpenEd%20Daily/Podcast_Thumbnails_(2).png",,"CLIP 2: ""Reading Impacts Everything"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/CLIP%202%20Reading%20Impacts%20Everything%201f5afe52ef59800b89efd44181a84fa8.md), Blog post (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20post%201f5afe52ef598050815ccb4b6865583d.md), SAVVY LinkedIn (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/SAVVY%20LinkedIn%201f5afe52ef59806284f7e10ae8644b6a.md), Clip 1: ""The 25-Minute Method That's 20X More Effective"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%201%20The%2025-Minute%20Method%20That's%2020X%20More%20Effect%201f5afe52ef59806a826ad22368ec616f.md), Social post ideas (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Social%20post%20ideas%201f5afe52ef598079aa3ed3ae11303928.md), June 18 Daily - Savvy Learning (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/June%2018%20Daily%20-%20Savvy%20Learning%20200afe52ef59802ea697c80c71cff2af.md)"
Teresa King on OpenEd Academy,,https://web.descript.com/fe8db5ff-d568-4d89-ac57-5f76ccfdc993/b774c?kind=video_project&lite=false,"Ela, Isaac, Matt",Not started,,,"May 16, 2025",,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/14ad88fc-75a3-44cf-993d-3af12c6760be?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980558bc2de2faf7e5e04.md),,,"The Virtual School That Adapts To YOUR Child, Not The Other Way Around | OpenEd Academy (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20Virtual%20School%20That%20Adapts%20To%20YOUR%20Child,%20Not%20%201f5afe52ef59805e89bfe2dedd49cb02.md), Clip #1: The Buffet Approach (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#1%20The%20Buffet%20Approach%201f5afe52ef598073b233e10fde511b34.md), Clip #3: The Trust Difference (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#3%20The%20Trust%20Difference%201f5afe52ef5980e0805cd02d4cea1fcd.md), Clip #2: Real-Life Learning Credits (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#2%20Real-Life%20Learning%20Credits%201f5afe52ef5980efa724c11375a0a7f1.md), NEwsletter (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/NEwsletter%201f9afe52ef5980be8526c7e241abe35d.md)"
Kris Vassel - Dyslexia,,https://share.descript.com/view/WRreVEUq2mx,"Ela, Isaac, Matt",Not started,,,"May 19, 2025",,Done,https://riverside.fm/dashboard/studios/andreas-opened-pod/recordings/1f5dd365-9124-4d3f-945b-b82b3c66e1d4?share-token=c61bcb1fdad7805bdd12&content-shared=recording,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef598064b9f8fdcaad25f60c.md),OpenEd%20Daily/Podcast_Thumbnails_(3).png,,"Clip #3 - Why Kids Need 1,000 Exposures  (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#3%20-%20Why%20Kids%20Need%201,000%20Exposures%20202afe52ef598014a7b6d5ac1ce9b28d.md), Clip #4 - The Second Person Theory (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#4%20-%20The%20Second%20Person%20Theory%20202afe52ef598030ba82f8dd608cea0f.md), Clip #5 - Reading Is Rocket Science (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#5%20-%20Reading%20Is%20Rocket%20Science%20202afe52ef59803db639fca4ed095ed0.md), Clip #2 - The Biggest Myth About Dyslexic Kids  (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#2%20-%20The%20Biggest%20Myth%20About%20Dyslexic%20Kids%20202afe52ef5980439a5dec90a5b02916.md), Clip #1 - The Dyslexia Myth Buster (PRIMARY) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#1%20-%20The%20Dyslexia%20Myth%20Buster%20(PRIMARY)%20202afe52ef5980afa14be9088232787f.md), The Dyslexia Myths That Are Hurting Kids: What Every Parent Needs to Know (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/The%20Dyslexia%20Myths%20That%20Are%20Hurting%20Kids%20What%20Ever%20202afe52ef5980e28980d3bb38fbfb33.md), Social Media Clip: The Emotional Cost of Waiting (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Social%20Media%20Clip%20The%20Emotional%20Cost%20of%20Waiting%2022aafe52ef59802091ccf593b953ef3c.md), Deep Dive Dyslexia (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Deep%20Dive%20Dyslexia%20246afe52ef59801a84c4c555e0f8fc14.md)"
Ken Coleman,,https://web.descript.com/7445d309-5eb2-4398-900a-99dec90a6b46/378de?kind=video_project&lite=false,,Not started,,,"May 30, 2025",,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/f3823ccd-27be-458c-9370-38f06db8ef76?hls=true,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef598024bf56f4ff2824de7b.md),OpenEd%20Daily/Daily_Thumbnail_8_(1).png,,"Blog Post: ""7 Things Career Expert Ken Coleman Says Parents Get Wrong (And How to Fix Them)"" (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Blog%20Post%207%20Things%20Career%20Expert%20Ken%20Coleman%20Says%20%20206afe52ef598036a517e3c1f81471d0.md), Clip #2 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#2%20207afe52ef598076a64de699e5028ff9.md), Clip #3 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#3%20207afe52ef5980a5874afcab335422be.md), Clip #4 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#4%20207afe52ef5980bfbbdbed92cd92475e.md), Clip #5 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#5%20207afe52ef5980d0a3edc99c58881b39.md), Clip #1 (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%20#1%20207afe52ef5980dfbfcce77be8cde27d.md)"
Meg Thomas Q&A,,,Isaac,Not started,,,,,Done,,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef5980bfac36c6f8e45d6e6d.md),,,Meg thomas (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Meg%20thomas%2020dafe52ef5980dc9f4ffc987d1ef1d5.md)
Katie Kimball - Cooking / Confidence,,https://web.descript.com/8b152425-0cab-4798-8dbc-d37db963a304,"Ela, Matt",Done,,,"May 19, 2025",,Done,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/6dad8273-7bad-405e-9e33-ff72b5ad1170?hls=true,,Done,Long Clips (Podcast/Podcast%20Master%20Calendar/Long%20Clips%2023aafe52ef59806e92d5d1584313f171.md),,,"Why anxiety is skyrocketing in kids (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Why%20anxiety%20is%20skyrocketing%20in%20kids%2020fafe52ef5980968e4ccefdb3d416ae.md), Create a family culture they can return to (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Create%20a%20family%20culture%20they%20can%20return%20to%20211afe52ef5980159994cb7e8f6a545c.md), Let them fail with low stakes first (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Let%20them%20fail%20with%20low%20stakes%20first%20211afe52ef5980388d75dbd2f541f74b.md), Building Confidence Through Cooking & Life Skills (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Building%20Confidence%20Through%20Cooking%20&%20Life%20Skills%2022aafe52ef59804d8d78cf6ca5f865d5.md), We Accidentally Created the Most Anxious Generation in History (Here's the Fix) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/We%20Accidentally%20Created%20the%20Most%20Anxious%20Generatio%2022aafe52ef598086b16de8d307517f06.md), Are you Helicopter Parenting without realizing? Try this instead... (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Are%20you%20Helicopter%20Parenting%20without%20realizing%20Try%2022bafe52ef5980dd8392f0da07a85dfe.md), Newsletter Kimball (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Newsletter%20Kimball%20233afe52ef598093bb3ce85f3a7abaf7.md)"
