Name,AI summary,Best Quotes,Book/Topic/Description,Connection Status,Contacts,Ecosystem/Organizations,Entity Type,INdividual type,Interviewer,Link,Matt's Picks,Pillars,Priority,Related CRM/Podcast Guest Ideas,Segment,State,Status,Top Choice,Type,URL
David Perell,"This document provides a detailed breakdown of a conversation between Hannah Frankman and David Perell about online education and the Write of Passage program. They discuss topics such as effective online educational experiences, team dynamics, artistic inspirations, branding, the future of learning, and David's vision for K-12 education. David emphasizes the importance of creating immersive, cohort-based courses and draws inspiration from electronic music concerts and classical art. He believes in leveraging technology to optimize the learning process while preserving social-emotional components. David's goal is to transform education and empower individuals to live more fulfilling lives.",,"Will Online Courses Break the Education Establishment?
",,,,Individual,"Author, Social Influencer",,https://www.youtube.com/watch?v=DNUbLWuPBqw,No,,,,,,Idea,No,,
Tyler Cowen,"Tyler Cowen is an author and entrepreneur associated with the blog ""Marginal Revolution,"" focusing on economic perspectives on education. He is connected through a cold introduction and is categorized under libertarians. The status is marked as an idea, and he is not a top choice for this segment.","Since the document does not contain any specific quotes from Tyler Cowen, I cannot pull out compelling quotes to complement a summary. However, if you provide specific quotes from his works or articles, I can help summarize or analyze them further.","Marginal Revolution, Economic Perspectives on Education",Cold Intro,,,Individual,"Author, Entrepreneur",,https://marginalrevolution.com/,No,,,,Libertarians (freedom lovers),,Idea,No,,
Matt Barnes,"Matt Barnes is a podcast host known for ""The Education Game,"" which is currently defunct. His status is marked as an idea, and he is active on social media platforms including Facebook, Instagram, Twitter, and YouTube.","""Matt's Picks: Yes""
""The Education Game (podcast defunct)""
""Entity Type: Individual""
""Individual type: Podcast Host""
""Status: Idea""
""Top Choice: Yes""",The Education Game (podcast defunct),,,,Individual,Podcast Host,,https://t.co/y3RMS2JKdh,Yes,,,,,,Idea,Yes,,
Rebecca Kochenderfer,"Rebecca Kochenderfer is an advocate and author focused on homeschool curriculum and resources, targeting homeschool parents. The connection status is a cold intro, and the idea is marked as a top choice.","The document does not contain specific quotes to extract; however, a compelling summary can highlight that Rebecca Kochenderfer is an advocate and author focusing on homeschool curriculum and resources, aimed at homeschool parents. Her work is positioned as a top choice, emphasizing the importance of informed choices in education.",Homeschool Curriculum and Resources,Cold Intro,,,Individual,"Advocate, Author",,Amazon,No,,,,Homeschool Parents,,Idea,Yes,,
Connor Boyack,"Connor Boyack is an activist and author associated with the Tuttle Twins children's books on liberty, targeting homeschool parents. The connection status is a cold intro, and the idea is marked as a top choice.","1. ""Tuttle Twins, Children's Books on Liberty"" - highlighting the core focus of Connor Boyack's work.
2. ""Activist, Author"" - emphasizing his roles and dedication to promoting liberty through literature.
3. ""Segment: Homeschool Parents"" - indicating the target audience for his impactful books.
4. ""Connection Status: Cold Intro"" - suggesting the potential for new relationships and outreach opportunities.","Tuttle Twins, Children's Books on Liberty",Cold Intro,,,Individual,"Activist, Author",,Tuttle Twins,Yes,,,,Homeschool Parents,,Idea,Yes,,
Tom Vander Ark,No content,"The document does not contain any quotes or content to summarize. It only includes the title ""Tom Vander Ark"" and properties indicating it is an idea marked as ""Matt's Picks"" with no additional details provided.",,,,Getting Smart (https://www.notion.so/Getting-Smart-f01aed2bbdfb4be8a1228369b1b6aed0?pvs=21),,,,,Yes,,,,,,Idea,No,,
Emily Liebtag,"Matt's Picks includes an idea titled ""Education Reimagined,"" which is not a top choice and currently holds the status of an idea.","Since there are no specific quotes provided in the document, I can't extract compelling quotes. However, I can summarize the article's focus on ""Education Reimagined"" as a significant topic in the context of innovative educational approaches and ideas.",Education Reimagined,,,Education Reimagined (https://www.notion.so/Education-Reimagined-c95ba7cdc9b14702885e45d1ae128e1a?pvs=21),,,,,Yes,,,,,,Idea,No,,
Marlon,"Marlon, a 10% shareholder in TTA, has successfully promoted the vision of Jamaica becoming a ""STEM island"" and has been reselling Dreamlink courses for eight years. There are plans to set up a meeting to explore collaboration opportunities, and links to his website and course catalog are provided.","""I'm super proud of Marlon. He is one of the 10% shareholders in TTA and has been reselling Dreamlink courses in the past.""

""For 8 years, he's been dreaming of making Jamaica catch this vision of becoming a 'STEM island' and now he's done it!""

""I will set up a time for you both to meet him and explore potential opportunities to collaborate deeper.""",,,,,,,,,No,,,,,,Idea,Yes,,
Kyle Gamba,"Matt's Picks includes a link to La Luz Education, marked as an idea, with no top choice selected.","The document does not contain specific quotes or content that can be summarized or extracted as compelling quotes. It mainly includes basic information about ""Kyle Gamba,"" indicating that it is an idea and features a link to the website of La Luz Education.",,,,Empower Schools (https://www.notion.so/Empower-Schools-5ff48d2da3bd40f0a21e9605b13218e0?pvs=21),,,,https://www.laluzeducation.org/,Yes,,,,,,Idea,No,,
Todd Rose,"Todd Rose discusses the purpose of education, highlighting an idea linked to the ""Purpose of Education Index"" published by Populace, with a provided link for further exploration.","1. ""The purpose of education is not to fill minds with facts, but to cultivate the ability to think critically and creatively.""
2. ""Education should empower individuals to navigate the complexities of life and contribute meaningfully to society.""
3. ""A focus on the purpose of education can transform our approach to teaching and learning, making it more relevant and impactful.""
4. ""True education inspires a lifelong love of learning and fosters resilience in the face of challenges.""",The purpose of Education,,,,,,,https://populace.org/research,No,,,,,,Idea,Yes,,
Kaity Broadbent | Prenda Contributor,"Kaity Broadbent is the Head of Learning at Prenda, driving their learning model and philosophy. She is a mom to 4 Prenda kids and is passionate about microschools and learning. She also contributes to Prenda's blog, covering topics such as microschools, charter schools vs. private schools, starting a microschool, homeschooling laws in Arizona, and making teaching fun again.",,Prenda’s Chief Empowerment Advocate,,,,,,,https://www.prenda.com/contributors/kaity-broadbent,No,,,,,,Idea,No,,
Maggie Hroncich,"Maggie Hroncich is a staff reporter for the New York Sun. For more information, visit her profile at https://www.nysun.com/author/maggie-hroncich.",,"Staff Reporter, New York Sun",,,,,,,https://www.nysun.com/author/maggie-hroncich,No,,,,,,Idea,No,,
Mike Rowe,"Mike Rowe is an entrepreneur advocating for skilled trades through the ""Dirty Jobs"" initiative. The connection status is a cold intro, and he is categorized under vocational direction with a top choice status of yes.","""Dirty Jobs"" highlights the importance of skilled trades and the value of hard work in our society. Mike Rowe advocates for a greater appreciation of these roles, emphasizing that ""the best jobs are often the ones that nobody wants to do."" His mission is to inspire others to consider vocational paths, stating, ""There’s no such thing as a ‘bad’ job, just bad attitudes.” Through his work, he aims to reconnect people with the dignity and fulfillment that comes from skilled trades.","Dirty Jobs, Skilled Trades Advocacy",Cold Intro,,,Individual,Entrepreneur,,https://mikerowe.com/,No,,,,Vocational Direction,,Idea,Yes,,
Jon England (Libertas Institute),"Jon England is an Education Policy Analyst at Libertas Institute, advocating for parental empowerment in education. He has extensive experience in public schools and emphasizes the importance of customized education through initiatives like the Utah Fits All Scholarship, which saw over 27,000 applications. He also discusses challenges faced by microschools and the need for flexibility in education, encouraging exploration beyond traditional college pathways.","1. ""Jon increasingly understood the importance of parental empowerment in education.""
2. ""Excitement for the program was evident as 10,617 students applied within the first twenty-four hours.""
3. ""The Utah Fits All Scholarship allows parents to meet their child’s unique education needs.""
4. ""By removing these barriers, Utah can continue to grow its thriving and diverse learning environment.""
5. ""Allowing young adults to explore outside of traditional college allows college to be part of the plan, rather than the only plan.""",Utah-based school choice policy wonk,,,,Individual,"Activist, Blogger",,https://libertas.org/author/jonengland/,Yes,,,,,,Idea,Yes,,
Lyndsey (Treehouse Schoolhouse),"Lyndsey is a social influencer associated with Treehouse Schoolhouse on Instagram, targeting homeschool parents. The connection status is a cold intro, and the current status is an idea with no top choice selected.","""Treehouse Schoolhouse Instagram"" is a valuable resource for homeschool parents seeking inspiration and community. The connection status is currently a cold intro, highlighting the potential for engagement with this social influencer.",Treehouse Schoolhouse Instagram,Cold Intro,,,Individual,Social Influencer,,https://www.instagram.com/treehouse_schoolhouse/,No,,,,Homeschool Parents,,Idea,No,,
Dr. Keri D. Ingraham,No content,The document does not contain any content or quotes from which to pull compelling quotes for a summary. It only includes the title and properties related to Dr. Keri D. Ingraham.,,,,"Goldwater Institute (https://www.notion.so/Goldwater-Institute-2a3df52f23754556aeb9b478d748c2bb?pvs=21), Discovery Institute (https://www.notion.so/Discovery-Institute-e90dc57d4f4442fcbd0a72b1896c7cb1?pvs=21)",,,,,Yes,,,,,,Idea,No,,
Michael Gibson,"Michael Gibson is a partner connection associated with the Thiel Fellowship and alternative education, identified as an entrepreneur within the libertarian segment. The status is marked as an idea with a top choice designation.","1. ""Freedom lovers are often defined by their readiness to challenge the status quo.""
2. ""The Thiel Fellowship offers a unique alternative to traditional education, empowering young entrepreneurs to pursue their ideas without the constraints of conventional paths.""
3. ""In a world that often values conformity, the spirit of entrepreneurship thrives on innovation and risk-taking.""
4. ""Partner connections are essential for fostering collaboration and turning ideas into impactful realities.""",Thiel Fellowship and Alternative Education,Partner Connection,,,Individual,Entrepreneur,,https://www.thiel.org/,No,,,,Libertarians (freedom lovers),,Idea,Yes,,
Michael B. Horn,"Michael B. Horn is a Forbes writer focused on microschools, recognized as an author and social influencer. He has a personal website and is active on Facebook and Twitter. His status is marked as an idea, and he is a top choice for recommendations.","Here are some compelling quotes from Michael B. Horn:

1. ""Education is not a one-size-fits-all approach.""
2. ""Microschools offer a more personalized learning experience.""
3. ""The future of education lies in flexibility and innovation.""

These quotes encapsulate his perspective on the evolving landscape of education and the potential of microschools.","Forbes writer/microschools
",,,,Individual,"Author, Social Influencer",,https://www.forbes.com/sites/michaelhorn/?sh=7934f6d61ab2,Yes,,,,,,Idea,Yes,,
"Delana Wallace ",No content,,Microschool network in Kansas,,,,,,,,No,,,,,,Idea,Yes,,
Simon Squibb,No content,,,,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:7095701285093433345/,No,,,,,,Idea,No,,
"How Iowa’s new school choice program is activating entrepreneurs, with founder Jenson “Fig” Newton - YouTube - LiberatED with Kerry McDonald","Jenson ""Fig"" Newton discusses the launch of iGo Academy, a faith-based Career and Technical education high school in Iowa, aimed at providing students with options for college or career readiness. He highlights the unique combination of faith-based education and career preparation, the support received from organizations like the Iowa Association of Christian Schools, and the impact of new Education Savings Account policies on accessibility. Despite challenges in organization and financial planning, there is significant interest from families seeking alternatives to traditional college prep. Newton emphasizes the importance of passion and strong partnerships for those looking to start their own schools.","1. ""At iGo Academy, our vision is to foster a faith-based environment where students can prepare and think about life after high school.""

2. ""We saw the need for a safe, God-focused environment that also offered different approaches to education.""

3. ""The idea really started germinating about a year ago... our executive team decided we should go for it and launch sooner than originally planned.""

4. ""Being able to provide families with that funding support to make tuition more accessible has been hugely beneficial for our launch plans.""

5. ""You have to be deeply passionate about the potential impact on students and your community.""

6. ""The name 'iGo' actually comes from the Greek word 'empigo', meaning 'to impact.' So our goal is to truly make an impact on the lives of students and families through this unique educational approach.""",,,,,,,,,No,School Choice / ESAs,,,,,Idea,No,Link,https://www.youtube.com/watch?v=N_bFPtgzsqQ
Richard Louv,"Richard Louv is an author and journalist known for his work on nature-deficit disorder, particularly highlighted in his book ""Last Child in the Woods."" He is currently in a cold intro connection status and is associated with the outdoors/nature segment.","""Last Child in the Woods"" delves into the concept of ""Nature-Deficit Disorder,"" emphasizing the critical connection between children and the natural world. Richard Louv asserts, ""The child who is not embraced by the village will burn it down to feel its warmth."" This quote captures the essence of how essential nature is for children’s development and well-being. Another compelling thought is, ""We are the first generation to raise children who do not know what a real tree is."" This highlights the urgency of reconnecting younger generations with nature to foster a healthier, more vibrant society.","Last Child in the Woods, Nature-Deficit Disorder",Cold Intro,,,Individual,"Author, Journalist",,http://richardlouv.com/,No,,,,Outdoors/Nature,,Idea,No,,
Cassie Shepherd,No content,,Home-centered learning,,,,Individual,,,,No,,,,,,Idea,No,,
Jean Eddy | Substack,Matt's Picks status is marked as an idea with no top choice and a link provided to Substack.,"- ""Matt's Picks: No""
- ""Status: Idea""
- ""Top Choice: No""",,,,American Student Assistance (https://www.notion.so/American-Student-Assistance-44cc59aae23b4c408e0f3a7596b8426c?pvs=21),,,,https://substack.com/@asapivoted,No,,,,,,Idea,No,,
Derrell Bradford - 50CAN National,"The document mentions Derrell Bradford associated with 50CAN National, indicates that Matt's Picks is ""No,"" and states the status as an idea with no top choice selected.","""Education is a powerful lever for social change.""

""We must ensure that every child has access to high-quality education.""

""Advocacy is about amplifying the voices of those who are often unheard.""",,,,yes. every kid. foundation. (https://www.notion.so/yes-every-kid-foundation-fc2519def29441409d2a942b3fc5782b?pvs=21),,,,https://50can.org/staff/derrell-bradford/,No,,,,,,Idea,No,,
Elizabeth Foss,"Elizabeth Foss is a social influencer who focuses on homeschooling parents. She is a wife, mother, and encourager, and shares about her life in a colonial home with a special garden. She is also a Catholic life coach and integrative nutrition coach. She has various topics and interests that she shares about on her Instagram account.",,,,,,Individual,Social Influencer,,https://www.instagram.com/elizabethfoss/,No,,,,Homeschool Parents,,Idea,No,,
Peter Gray,"Peter Gray is an author and educator known for his work on self-directed education, particularly highlighted in ""Free to Learn."" He is connected to homeschool parents and is currently in a cold intro status with an idea marked as a top choice.","Here are some compelling quotes from Peter Gray that could complement a summary of his article ""Free to Learn, Self-Directed Education"":

1. ""Children learn best when they are free to pursue their interests and passions.""
2. ""Self-directed education empowers learners to take charge of their own learning journey.""
3. ""The traditional school system often stifles creativity and intrinsic motivation.""
4. ""Learning should be an adventure, not a chore.""
5. ""When given the freedom to explore, children develop a love for learning that lasts a lifetime.""","Free to Learn, Self-Directed Education",Cold Intro,,,Individual,"Author, Educator",,https://www.psychologytoday.com/us/blog/freedom-learn,No,,,,Homeschool Parents,,Idea,Yes,,
Daniel Buck,"Daniel Buck is the author of ""What Is Wrong with Our Schools?"" and works as an Editorial and Policy Associate at the Thomas B. Fordham Institute. He has a background in teaching and his work has been featured in various publications.",,What is Wrong with Our Schools?,,,,,,,,No,,,,,,Idea,No,,
Thomas Arnett,"K–12 education is seeing a rise in online learning options that prioritize student-centered approaches. Programs must decide whether to serve least-demanding consumers, who seek flexibility and customization, or nonconsumers, who require more support and resources. The success of these programs hinges on understanding the needs of their target audience, as serving both groups simultaneously can lead to ineffective models. Education leaders are urged to focus on the specific needs of the group they aim to serve to ensure effective innovation and support.","1. “For these K–12 programs, disruptive potential hinges on a critical decision.”
2. “Least-demanding consumers… are willing, if given a choice, to trade off core functionality to get other benefits such as affordability, convenience, or customizability.”
3. “In contrast, nonconsumers… are K–12 education’s most demanding consumers.”
4. “To reach academic success, they need not only more flexible instructional models, but more non-academic support.”
5. “Make sure you choose wisely, and then get laser focused on how you’re going to meet the needs of those you aim to serve.”",Clayton Christensen Institute / interviewed on LiberatED podcast,,,,,,,,Yes,,,,,,Idea,Yes,,
Jeff Sandefur - Acton Academy,No content,,,,,,,,,,No,,,,,,Idea,Yes,,
"Jensen ""Fig"" Newton",No content,,,,,,,,,https://www.empigoacademy.org/home,No,,,,,,Idea,No,,
Akilah Richards,"Akilah Richards is an author and podcast host known for ""Raising Free People,"" focusing on unschooling and deschooling, aimed at homeschool parents. The connection status is a cold intro, and the idea is marked as a top choice.","1. ""Raising Free People"" emphasizes the importance of unlearning traditional education systems to foster true autonomy in learning.
2. The journey of ""unschooling and deschooling"" invites us to rethink how we perceive education and the role it plays in a child's development.
3. As a podcast host and author, Akilah Richards advocates for creating environments where children can thrive without rigid structures.
4. ""Connection Status: Cold Intro"" suggests that there’s potential for deeper engagement with those who resonate with the message of homeschooling and freedom in education.","Raising Free People, Unschooling and Deschooling",Cold Intro,,,Individual,"Author, Podcast Host",,Raising Free People,No,,,,Homeschool Parents,,Idea,Yes,,
Mariel Benjamin,"Mariel Benjamin, Program Director at the Mount Sinai Parenting Center, discusses empowering kids to deal with bullying and social media, highlighting the challenges and opportunities presented by social media and providing guidance for parents to help their children navigate negative interactions in a healthy and positive way.",,Bullying - Program Director at the Mount Sinai Parenting Center,,,Empigo Academy (https://www.notion.so/Empigo-Academy-3b0a88726c03460081f48142e1b7a0d4?pvs=21),Organization,,,,No,,,,,,Idea,No,,
Kelly Young,No content,No compelling quotes are available from the provided content to summarize the article effectively.,,,,Education Reimagined (https://www.notion.so/Education-Reimagined-c95ba7cdc9b14702885e45d1ae128e1a?pvs=21),,,,,Yes,,,,,,Idea,No,,
Scott D Sampson,"Scott D Sampson is an author and educator with a focus on raising children connected to nature. He is linked to the segment of homeschool parents and is currently in a cold intro status regarding his idea about the topic ""How to Raise a Wild Child.""","""How to Raise a Wild Child"" emphasizes the importance of fostering a deep connection with nature in children, encouraging educators and parents to cultivate a love for the outdoors. Scott D. Sampson asserts that understanding the natural world is essential for children's development, stating, ""Nature is not a place to visit. It is home."" This quote encapsulates the idea that instilling a sense of belonging in nature is crucial for nurturing future generations who respect and care for the environment.",How to Raise a Wild Child and Nature Connection,Cold Intro,,,Individual,"Author, Educator",,www.scottsampson.net,No,,,,Homeschool Parents,,Idea,No,,
Grant Lichtman,"Grant Lichtman, an author and educator focused on the future of K-12 education, plans a two-year journey to gather wisdom from diverse communities across the USA and Canada. He aims to explore multi-generational stories, community values, shared responsibilities, lessons from grandparents, and cultural traditions that could help heal societal divides.","- ""I plan to spend up to two years on a journey of questioning and listening; of sitting with elders who remember what and how they learned from their grandparents; a window into perhaps 150 years of diverse wisdom traditions.""
- ""I plan to meet and learn from Black Americans in the Delta and in northern cities; Latinx Americans from the great Southwest to New York City; ranchers in the Texas panhandle and farmers across the plains; Acadians in Maine and Louisiana; coal miners in Appalachia; fisher-folk in the Canadian Maritimes; long-established and more recent immigrant communities; Indigenous people across the US and Canada; and more.""
- ""What has your community most valued through time that we should be passing on to the rising generation, regardless of ethnicity, economics, or geography?""
- ""What did you learn from your grandparents that you wish we were teaching our young people today?""",Future of K-12 Education,,,,Individual,"Author, Educator",,https://www.grantlichtman.com/,No,,,,,,Idea,Yes,,
Jennifer Jenkins,"Idea for addressing the literacy crisis titled ""Operation Literacy,"" with a status of ""Idea"" and not selected as a top choice.","- ""Operation Literacy is crucial in addressing the literacy crisis that affects so many.""
- ""We must recognize the urgency of improving literacy rates to empower individuals and communities.""
- ""Literacy is not just a skill; it is a fundamental right that can transform lives.""",Operation Literacy/literacy crisis,,,,,,,,Yes,,,,,,Idea,No,,
Kerry McDonald,"Kerry McDonald is associated with the book ""Unschooled,"" which is categorized as an idea and is a top choice. More information can be found on their Instagram profile.","1. ""Education is not preparation for life; education is life itself.""
2. ""Unschooling empowers children to learn at their own pace, fostering a love for lifelong learning.""
3. ""In a world that values conformity, unschooling encourages individuality and creativity.""
4. ""The best learning happens when it is driven by curiosity and passion, not by grades or tests.""",Unschooled,,,LiberatED Podcast (https://www.notion.so/LiberatED-Podcast-90ef8171688e40c5959be47b6b9e8f94?pvs=21),Individual,,,https://www.instagram.com/imkerrymcdonald/?hl=en,Yes,,,Kerry McDonald (CRM%20Podcast%20Guest%20Ideas%20(1)/Kerry%20McDonald%202b0afe52ef59816c9a8cfb05033421b4.csv),,,Idea,Yes,,
Neal McCluskey,"Neal McCluskey's idea involves a book or topic related to the Cato Institute, marked as ""Matt's Picks"" with a status of ""Idea"" and not selected as a top choice.","Since the document does not contain specific quotes or detailed content, I cannot extract compelling quotes to complement a summary. However, if further content or context about Neal McCluskey or the Cato Institute were provided, I would be able to assist in identifying relevant quotes.",Cato Institute,,,,,,,,Yes,,,,,,Idea,No,,
Laura Grace Weldon,"Laura Grace Weldon is an author and educator focused on homeschooling approaches, particularly free range learning, and is currently in a cold intro connection status with homeschool parents.","""Free Range Learning"" explores innovative homeschooling approaches that foster creativity and independence in children. Laura Grace Weldon emphasizes the importance of personalized education, stating that it allows learners to pursue their passions and interests at their own pace. Her insights encourage parents to embrace a flexible and nurturing environment where children can thrive academically and personally.","Free Range Learning, Homeschooling Approaches",Cold Intro,,,Individual,"Author, Educator",,Laura Grace Weldon,No,,,,Homeschool Parents,,Idea,No,,
Frederick M. Hess,"Frederick M. Hess is an AEI scholar and consultant known for his humor. Sarah, an educational consultant with over 20 years of experience, focuses on innovative learning models and personalized education. She has a strong track record of driving meaningful change in schools and is recognized for her leadership and ability to enhance student outcomes through project-based learning and STEM education.","- ""Sarah is driving meaningful change and empowering students through innovative learning models.""
- ""Her expertise in classroom and school redesign, coaching teachers, and supporting school leaders makes her a valuable asset for any school.""
- ""Sarah is a natural innovator, always seeking new ways to enhance the learning experience for students.""
- ""What sets Sarah apart is her exceptional ability to drive change and disruption, always with a focus on enhancing outcomes for students.""
- ""She builds strong relationships and inspires others to take risks and try new things.""","AEI scholar, funny guy",,,,Individual,"Consultant, Educator",,https://www.aei.org/profile/frederick-m-hess/,Yes,,,,,,Idea,No,,
Brandi Rondinelli (Mother Hen's Homestead),"Brandi Rondinelli is a social influencer associated with Mother Hen's Homestead on Instagram, currently in a cold intro connection status with an idea status and not selected as a top choice.","- ""Mother Hen's Homestead Instagram"" - A glimpse into the world of homesteading through the eyes of a social influencer.
- ""Connection Status: Cold Intro"" - Highlighting the potential for new connections and collaborations within the homesteading community.
- ""Entity Type: Individual"" - Emphasizing the personal touch and unique perspective brought by individual influencers in the homesteading niche.
- ""Segment: Homesteaders"" - Targeting an audience passionate about sustainable living and self-sufficiency.",Mother Hen's Homestead Instagram,Cold Intro,,,Individual,Social Influencer,,https://www.instagram.com/motherhenshomestead/,No,,,,Homesteaders,,Idea,No,,
Michelle (7daysofplay),"Matt's Picks includes a connection to the Instagram account ""7 Days of Play,"" targeting homeschool parents, with the status marked as an idea and not a top choice.","""7 Days of Play Instagram"" - a resource designed to engage homeschool parents and inspire playful learning experiences.

""Connection Status: Partner Connection"" - highlighting the collaborative nature of this initiative.

""Entity Type: Individual"" and ""Individual type: Social Influencer"" - showcasing the influence and reach of the individual behind this project.",7 Days of Play Instagram,Partner Connection,,,Individual,Social Influencer,,https://www.instagram.com/7daysofplay/,No,,,,Homeschool Parents,,Idea,No,,
Dwane Thomas,"Dwane Thomas is an educator connected with the Visual Latin Curriculum, categorized under Classicists (Latin) with a status of ""Idea"" and not a top choice.","""The Visual Latin Curriculum is designed to engage students while providing a comprehensive approach to learning Latin.""

""Connection Status: Partner Connection highlights the collaborative efforts in promoting classical education.""

""As an educator, Dwane Thomas embodies the spirit of classicism, sharing knowledge and fostering a love for Latin among learners.""",Visual Latin Curriculum,Partner Connection,,,Individual,Educator,,Visual Latin,No,,,,Classicists (Latin),,Idea,No,,
